xmin,ymin,xmax,ymax,confidence,class,name,time
75.0,515.0,404.0,862.0,0.3410140573978424,0,person,1
0.0,36.0,245.0,831.0,0.37752673029899597,0,person,1
72.0,508.0,407.0,862.0,0.3283711373806,0,person,2
0.0,36.0,243.0,831.0,0.3750075697898865,0,person,2
438.0,778.0,800.0,864.0,0.2983516752719879,66,keyboard,3
84.0,490.0,406.0,860.0,0.37613821029663086,0,person,3
1.0,23.0,264.0,847.0,0.41913148760795593,0,person,3
3.0,23.0,262.0,842.0,0.4180305302143097,0,person,4
101.0,465.0,413.0,859.0,0.5278598666191101,0,person,4
3.0,23.0,262.0,841.0,0.4308083951473236,0,person,5
102.0,465.0,413.0,859.0,0.5495928525924683,0,person,5
978.0,526.0,1136.0,693.0,0.2777283787727356,56,chair,6
111.0,454.0,430.0,858.0,0.5535789132118225,0,person,6
3.0,30.0,265.0,844.0,0.6087134480476379,0,person,6
119.0,449.0,443.0,857.0,0.5747676491737366,0,person,7
3.0,26.0,279.0,832.0,0.612825870513916,0,person,7
125.0,437.0,457.0,855.0,0.542519211769104,0,person,8
3.0,27.0,288.0,836.0,0.7015840411186218,0,person,8
3.0,27.0,301.0,833.0,0.6279423236846924,0,person,9
136.0,439.0,476.0,857.0,0.6518397927284241,0,person,9
3.0,40.0,318.0,828.0,0.6539021134376526,0,person,10
140.0,455.0,474.0,858.0,0.6756536960601807,0,person,10
3.0,40.0,318.0,829.0,0.651299774646759,0,person,11
139.0,454.0,474.0,858.0,0.6613814830780029,0,person,11
147.0,450.0,476.0,859.0,0.6251367330551147,0,person,12
3.0,36.0,329.0,846.0,0.6533235311508179,0,person,12
2.0,20.0,335.0,840.0,0.4650973975658417,0,person,13
141.0,435.0,480.0,856.0,0.5350149273872375,0,person,13
1.0,23.0,352.0,843.0,0.3408801257610321,0,person,14
140.0,486.0,477.0,856.0,0.4218462407588959,0,person,14
605.0,43.0,985.0,815.0,0.26413705945014954,0,person,15
128.0,387.0,500.0,857.0,0.4316353499889374,0,person,15
4.0,27.0,326.0,856.0,0.51506507396698,0,person,15
4.0,13.0,354.0,853.0,0.450055330991745,0,person,16
130.0,355.0,494.0,861.0,0.48579931259155273,0,person,16
4.0,13.0,355.0,852.0,0.46133118867874146,0,person,17
130.0,355.0,494.0,861.0,0.4973359704017639,0,person,17
4.0,8.0,360.0,848.0,0.5284000635147095,0,person,18
142.0,353.0,500.0,860.0,0.6587255001068115,0,person,18
158.0,358.0,517.0,854.0,0.6255512237548828,0,person,19
4.0,14.0,365.0,847.0,0.6317893266677856,0,person,19
169.0,357.0,521.0,856.0,0.42753303050994873,0,person,20
4.0,15.0,373.0,864.0,0.642512857913971,0,person,20
5.0,19.0,381.0,864.0,0.5866308212280273,0,person,21
5.0,22.0,383.0,854.0,0.547076404094696,0,person,22
5.0,22.0,384.0,854.0,0.5594362616539001,0,person,23
4.0,17.0,387.0,864.0,0.6135388612747192,0,person,24
232.0,460.0,569.0,855.0,0.3493644893169403,0,person,25
7.0,2.0,596.0,864.0,0.412494421005249,0,person,25
721.0,5.0,1107.0,644.0,0.25582289695739746,0,person,26
13.0,6.0,622.0,864.0,0.5251898169517517,0,person,26
12.0,15.0,625.0,864.0,0.543451726436615,0,person,27
618.0,758.0,677.0,854.0,0.2664690315723419,39,bottle,28
2.0,16.0,407.0,860.0,0.4903492331504822,0,person,28
618.0,758.0,677.0,855.0,0.2761807143688202,39,bottle,29
2.0,16.0,409.0,860.0,0.4789791703224182,0,person,29
9.0,15.0,610.0,864.0,0.47223594784736633,0,person,30
719.0,752.0,775.0,836.0,0.2581667900085449,44,spoon,31
5.0,21.0,623.0,863.0,0.46900513768196106,0,person,31
618.0,736.0,688.0,864.0,0.511117160320282,39,bottle,32
2.0,28.0,607.0,836.0,0.5803782343864441,0,person,32
618.0,736.0,687.0,864.0,0.5199312567710876,39,bottle,33
2.0,29.0,607.0,835.0,0.5770164728164673,0,person,33
618.0,737.0,687.0,864.0,0.5133398771286011,39,bottle,34
2.0,29.0,606.0,835.0,0.5707367062568665,0,person,34
281.0,400.0,581.0,755.0,0.2827954888343811,15,cat,35
0.0,16.0,518.0,846.0,0.5684162974357605,0,person,35
617.0,728.0,686.0,864.0,0.5949180126190186,39,bottle,35
285.0,395.0,588.0,755.0,0.3561505079269409,15,cat,36
620.0,730.0,685.0,864.0,0.4441334307193756,39,bottle,36
0.0,21.0,543.0,839.0,0.5496678948402405,0,person,36
625.0,736.0,689.0,864.0,0.2981155216693878,39,bottle,37
295.0,422.0,593.0,762.0,0.32687798142433167,15,cat,37
2.0,24.0,609.0,838.0,0.5954835414886475,0,person,37
0.0,13.0,512.0,856.0,0.5174160003662109,0,person,38
0.0,9.0,510.0,856.0,0.45001041889190674,0,person,39
5.0,17.0,609.0,852.0,0.46297013759613037,0,person,40
5.0,16.0,609.0,853.0,0.4841618239879608,0,person,41
0.0,11.0,441.0,850.0,0.40714213252067566,0,person,42
0.0,17.0,544.0,851.0,0.3906680643558502,0,person,43
4.0,19.0,611.0,842.0,0.4930349886417389,0,person,44
10.0,20.0,616.0,840.0,0.35808008909225464,0,person,45
11.0,18.0,620.0,846.0,0.2830527126789093,0,person,46
11.0,17.0,620.0,845.0,0.3064933121204376,0,person,47
16.0,20.0,649.0,842.0,0.31267765164375305,0,person,48
13.0,18.0,636.0,847.0,0.26840052008628845,0,person,50
773.0,39.0,1149.0,735.0,0.38609185814857483,0,person,50
769.0,38.0,1146.0,745.0,0.29213953018188477,0,person,51
7.0,19.0,606.0,843.0,0.3855314254760742,0,person,51
783.0,49.0,1145.0,765.0,0.3600146770477295,0,person,52
9.0,10.0,609.0,856.0,0.40285512804985046,0,person,52
780.0,49.0,1145.0,767.0,0.3766009211540222,0,person,53
10.0,10.0,610.0,854.0,0.40104320645332336,0,person,53
764.0,47.0,1135.0,801.0,0.27536508440971375,0,person,54
4.0,18.0,531.0,843.0,0.3387472331523895,0,person,54
0.0,20.0,504.0,840.0,0.28536900877952576,0,person,55
774.0,71.0,1137.0,794.0,0.42420536279678345,0,person,55
12.0,14.0,541.0,853.0,0.45859989523887634,0,person,56
6.0,17.0,520.0,853.0,0.4296700656414032,0,person,57
7.0,18.0,512.0,854.0,0.2827063500881195,0,person,58
7.0,18.0,514.0,855.0,0.28399592638015747,0,person,59
0.0,16.0,774.0,859.0,0.2500392198562622,0,person,60
0.0,19.0,856.0,855.0,0.3562849760055542,0,person,61
14.0,6.0,807.0,762.0,0.27377039194107056,0,person,62
3.0,15.0,431.0,859.0,0.28712475299835205,0,person,64
318.0,288.0,430.0,473.0,0.28875797986984253,67,cell phone,65
3.0,16.0,431.0,859.0,0.29621821641921997,0,person,65
3.0,17.0,420.0,861.0,0.3358175456523895,0,person,66
2.0,15.0,414.0,838.0,0.2613255977630615,0,person,67
94.0,363.0,429.0,862.0,0.32894763350486755,0,person,67
297.0,296.0,429.0,477.0,0.4805120825767517,67,cell phone,67
292.0,301.0,440.0,475.0,0.325045108795166,65,remote,68
290.0,298.0,440.0,478.0,0.36165156960487366,67,cell phone,68
1.0,18.0,411.0,843.0,0.3641112148761749,0,person,68
293.0,301.0,440.0,475.0,0.32280927896499634,65,remote,69
290.0,298.0,440.0,478.0,0.3589750826358795,67,cell phone,69
1.0,18.0,413.0,843.0,0.3784826397895813,0,person,69
293.0,300.0,440.0,475.0,0.2781965434551239,65,remote,70
290.0,297.0,440.0,478.0,0.29358166456222534,67,cell phone,70
1.0,18.0,411.0,842.0,0.3865828514099121,0,person,70
680.0,249.0,1134.0,864.0,0.28963232040405273,0,person,71
282.0,300.0,446.0,485.0,0.5032245516777039,67,cell phone,71
694.0,243.0,1131.0,864.0,0.26054465770721436,0,person,72
281.0,301.0,451.0,493.0,0.2887774705886841,67,cell phone,72
691.0,243.0,1128.0,864.0,0.3989473879337311,0,person,73
84.0,327.0,468.0,858.0,0.27744340896606445,0,person,74
278.0,308.0,459.0,550.0,0.3194107115268707,65,remote,74
84.0,327.0,466.0,858.0,0.27905336022377014,0,person,75
278.0,308.0,459.0,550.0,0.3214438557624817,65,remote,75
84.0,327.0,466.0,858.0,0.2790122926235199,0,person,76
277.0,308.0,458.0,550.0,0.31011199951171875,65,remote,76
884.0,566.0,1152.0,864.0,0.36307427287101746,40,wine glass,77
38.0,7.0,948.0,864.0,0.2566159963607788,0,person,80
778.0,349.0,901.0,424.0,0.25800254940986633,79,toothbrush,80
801.0,307.0,1146.0,842.0,0.43104687333106995,0,person,80
51.0,22.0,941.0,838.0,0.28831639885902405,0,person,81
788.0,2.0,1150.0,720.0,0.259681761264801,0,person,84
80.0,232.0,551.0,856.0,0.359946608543396,0,person,85
144.0,361.0,602.0,850.0,0.2963023781776428,0,person,86
188.0,473.0,657.0,854.0,0.5731398463249207,0,person,87
228.0,513.0,715.0,864.0,0.4411013722419739,0,person,88
230.0,513.0,715.0,864.0,0.4704156816005707,0,person,89
264.0,528.0,725.0,864.0,0.4305110275745392,0,person,90
268.0,541.0,754.0,862.0,0.3512648344039917,0,person,91
275.0,558.0,760.0,863.0,0.3502642810344696,0,person,92
284.0,556.0,781.0,864.0,0.3178027272224426,0,person,93
304.0,143.0,742.0,488.0,0.2845155894756317,47,apple,94
292.0,573.0,793.0,864.0,0.3599005937576294,0,person,94
304.0,143.0,742.0,488.0,0.2687685489654541,47,apple,95
292.0,573.0,792.0,864.0,0.3519138693809509,0,person,95
309.0,154.0,760.0,502.0,0.3225564658641815,47,apple,96
297.0,586.0,777.0,863.0,0.4560374915599823,0,person,96
307.0,602.0,762.0,863.0,0.3413737416267395,0,person,97
