xmin,ymin,xmax,ymax,confidence,class,name,time
552.0,589.0,628.0,834.0,0.2677115201950073,73,book,19
704.0,670.0,936.0,861.0,0.3279873728752136,65,remote,33
719.0,642.0,841.0,847.0,0.47113847732543945,65,remote,34
718.0,641.0,842.0,848.0,0.41307124495506287,65,remote,35
718.0,641.0,843.0,848.0,0.359081894159317,65,remote,36
723.0,645.0,844.0,845.0,0.26500403881073,65,remote,37
710.0,652.0,830.0,850.0,0.5737705826759338,65,remote,38
699.0,656.0,813.0,851.0,0.5864286422729492,65,remote,39
500.0,592.0,736.0,859.0,0.41030755639076233,65,remote,49
658.0,35.0,1153.0,795.0,0.3500535488128662,0,person,67
76.0,70.0,204.0,122.0,0.3987155556678772,2,car,88
33.0,144.0,164.0,211.0,0.43245503306388855,2,car,88
51.0,480.0,344.0,624.0,0.3767107427120209,30,skis,106
50.0,480.0,344.0,624.0,0.36690187454223633,30,skis,107
47.0,479.0,345.0,624.0,0.34247809648513794,30,skis,108
655.0,264.0,1154.0,854.0,0.6149167418479919,72,refrigerator,122
660.0,277.0,1129.0,852.0,0.28774669766426086,72,refrigerator,124
660.0,278.0,1128.0,852.0,0.2556847035884857,72,refrigerator,125
659.0,278.0,1129.0,852.0,0.2698976993560791,72,refrigerator,126
669.0,250.0,1154.0,849.0,0.2575860023498535,72,refrigerator,127
747.0,149.0,1158.0,845.0,0.3142184615135193,72,refrigerator,133
727.0,72.0,1158.0,841.0,0.2679315507411957,72,refrigerator,139
297.0,384.0,645.0,845.0,0.32865792512893677,61,toilet,148
298.0,392.0,644.0,850.0,0.3289893865585327,75,vase,151
715.0,166.0,978.0,852.0,0.3504387140274048,0,person,154
715.0,161.0,978.0,851.0,0.2886691391468048,0,person,155
713.0,151.0,982.0,850.0,0.25678667426109314,0,person,156
227.0,415.0,627.0,859.0,0.2694351077079773,61,toilet,157
909.0,278.0,1158.0,846.0,0.2927442789077759,72,refrigerator,159
191.0,456.0,612.0,853.0,0.27428653836250305,61,toilet,165
150.0,527.0,590.0,855.0,0.255748450756073,62,tv,176
160.0,495.0,620.0,856.0,0.3451327681541443,62,tv,177
1118.0,732.0,1158.0,853.0,0.3073556423187256,2,car,249
3.0,7.0,244.0,373.0,0.36014729738235474,0,person,296
5.0,36.0,303.0,550.0,0.5310713648796082,0,person,298
5.0,36.0,303.0,540.0,0.5225574374198914,0,person,299
4.0,22.0,304.0,506.0,0.5614256858825684,0,person,300
