xmin,ymin,xmax,ymax,confidence,class,name,time
162.0,290.0,296.0,420.0,0.3088379204273224,16,dog,1
138.0,0.0,258.0,200.0,0.3682485818862915,58,potted plant,1
298.0,350.0,480.0,637.0,0.3706512749195099,60,dining table,1
1.0,73.0,151.0,215.0,0.7293553948402405,62,tv,1
161.0,290.0,297.0,420.0,0.32594457268714905,77,teddy bear,2
135.0,0.0,258.0,204.0,0.37427905201911926,58,potted plant,2
299.0,350.0,480.0,635.0,0.40549135208129883,60,dining table,2
1.0,74.0,147.0,215.0,0.7231974005699158,62,tv,2
297.0,348.0,480.0,642.0,0.2833900451660156,60,dining table,3
293.0,313.0,479.0,649.0,0.2854541540145874,56,chair,3
131.0,0.0,257.0,204.0,0.33820849657058716,58,potted plant,3
160.0,291.0,295.0,421.0,0.37136295437812805,77,teddy bear,3
1.0,73.0,147.0,215.0,0.7362954616546631,62,tv,3
290.0,317.0,479.0,649.0,0.25268611311912537,56,chair,4
8.0,0.0,250.0,207.0,0.27518340945243835,58,potted plant,4
294.0,348.0,480.0,642.0,0.30608415603637695,60,dining table,4
157.0,292.0,292.0,420.0,0.3753777742385864,77,teddy bear,4
1.0,75.0,146.0,215.0,0.7339674830436707,62,tv,4
294.0,349.0,480.0,643.0,0.3034419119358063,60,dining table,5
7.0,0.0,250.0,206.0,0.33037352561950684,58,potted plant,5
158.0,291.0,293.0,421.0,0.3700024485588074,77,teddy bear,5
1.0,75.0,145.0,215.0,0.7325513958930969,62,tv,5
294.0,349.0,480.0,643.0,0.27836519479751587,60,dining table,6
8.0,0.0,251.0,207.0,0.30414149165153503,58,potted plant,6
157.0,290.0,264.0,415.0,0.3733293116092682,77,teddy bear,6
1.0,75.0,147.0,215.0,0.692350447177887,62,tv,6
294.0,350.0,480.0,640.0,0.2726752460002899,60,dining table,7
6.0,0.0,250.0,205.0,0.329635888338089,58,potted plant,7
157.0,289.0,292.0,421.0,0.4162854254245758,77,teddy bear,7
1.0,74.0,143.0,213.0,0.6643545031547546,62,tv,7
294.0,351.0,480.0,635.0,0.31684014201164246,60,dining table,8
7.0,0.0,252.0,204.0,0.3569677770137787,58,potted plant,8
157.0,289.0,264.0,415.0,0.42292681336402893,77,teddy bear,8
1.0,75.0,142.0,212.0,0.6809370517730713,62,tv,8
290.0,313.0,480.0,652.0,0.27463898062705994,56,chair,9
6.0,0.0,251.0,205.0,0.3108997941017151,58,potted plant,9
294.0,349.0,480.0,637.0,0.3299802243709564,60,dining table,9
158.0,289.0,293.0,420.0,0.4311284124851227,77,teddy bear,9
1.0,74.0,140.0,211.0,0.6411383152008057,62,tv,9
159.0,288.0,297.0,421.0,0.2771657705307007,15,cat,10
294.0,352.0,480.0,638.0,0.3113963305950165,60,dining table,10
128.0,1.0,256.0,203.0,0.3365611433982849,58,potted plant,10
159.0,288.0,293.0,420.0,0.40335705876350403,77,teddy bear,10
1.0,73.0,144.0,211.0,0.6744242310523987,62,tv,10
290.0,313.0,479.0,656.0,0.2703721523284912,56,chair,11
294.0,350.0,480.0,636.0,0.29229092597961426,60,dining table,11
127.0,1.0,256.0,204.0,0.3001827001571655,58,potted plant,11
158.0,288.0,294.0,420.0,0.45039358735084534,77,teddy bear,11
1.0,73.0,139.0,211.0,0.6427204608917236,62,tv,11
290.0,315.0,478.0,653.0,0.32472124695777893,56,chair,12
294.0,350.0,480.0,635.0,0.32838237285614014,60,dining table,12
129.0,1.0,257.0,203.0,0.3293582797050476,58,potted plant,12
158.0,288.0,294.0,419.0,0.49213844537734985,77,teddy bear,12
1.0,73.0,140.0,210.0,0.609735369682312,62,tv,12
293.0,349.0,480.0,636.0,0.26194730401039124,60,dining table,13
290.0,322.0,479.0,647.0,0.29009881615638733,56,chair,13
133.0,1.0,255.0,204.0,0.3183183968067169,58,potted plant,13
159.0,290.0,294.0,420.0,0.42496758699417114,77,teddy bear,13
